X,Y,Z
0.77,0.09,-3.43
0.76,0.09999999,-3.42
0.76,0.09999999,-3.41
0.75,0.09,-3.4
0.74,0.09,-3.38
0.74,0.09,-3.37
0.73,0.09,-3.36
0.73,0.09,-3.35
0.73,0.09,-3.34
0.72,0.09,-3.32
0.72,0.09,-3.31
0.71,0.09,-3.31
0.71,0.09,-3.3
0.71,0.09999999,-3.29
0.7,0.09999999,-3.27
0.7,0.09999999,-3.26
0.7,0.09999999,-3.25
0.69,0.09999999,-3.24
0.69,0.09999999,-3.23
0.69,0.09999999,-3.21
0.69,0.09999999,-3.2
0.68,0.09999999,-3.19
0.68,0.09999999,-3.18
0.68,0.09999999,-3.17
0.67,0.09999999,-3.15
0.67,0.09,-3.14
0.67,0.09,-3.13
0.67,0.09,-3.11
0.67,0.09,-3.1
0.67,0.09,-3.08
0.67,0.09,-3.07
0.67,0.08,-3.05
0.67,0.08,-3.04
0.67,0.08,-3.03
0.68,0.08,-3.01
0.68,0.08,-2.99
0.68,0.08,-2.98
0.68,0.08,-2.97
0.69,0.08,-2.96
0.69,0.08,-2.93
0.69,0.08,-2.92
0.7,0.08,-2.9
0.7,0.09,-2.89
0.7,0.09,-2.88
0.71,0.09999999,-2.85
0.71,0.09999999,-2.84
0.72,0.09999999,-2.82
0.72,0.09999999,-2.81
0.72,0.11,-2.79
0.72,0.11,-2.77
0.73,0.11,-2.75
0.72,0.11,-2.74
0.72,0.12,-2.72
0.72,0.12,-2.7
0.72,0.12,-2.68
0.71,0.12,-2.67
0.71,0.12,-2.65
0.71,0.12,-2.64
0.7,0.12,-2.61
0.69,0.12,-2.6
0.69,0.11,-2.58
0.69,0.11,-2.57
0.68,0.11,-2.56
0.67,0.11,-2.52
0.67,0.09999999,-2.51
0.66,0.09999999,-2.5
0.66,0.09999999,-2.48
0.65,0.09999999,-2.47
0.64,0.09,-2.43
0.63,0.09,-2.42
0.62,0.09,-2.4
0.62,0.09,-2.39
0.61,0.09,-2.37
0.59,0.09,-2.34
0.58,0.09,-2.32
0.57,0.09999999,-2.31
0.56,0.09999999,-2.29
0.56,0.09999999,-2.27
0.54,0.11,-2.24
0.53,0.11,-2.23
0.52,0.11,-2.21
0.52,0.11,-2.2
0.51,0.11,-2.18
0.5,0.12,-2.16
0.5,0.12,-2.14
0.5,0.12,-2.12
0.49,0.12,-2.11
0.49,0.12,-2.1
0.48,0.13,-2.07
0.48,0.13,-2.05
0.48,0.13,-2.04
0.48,0.13,-2.02
0.48,0.12,-2.01
0.47,0.12,-1.98
0.47,0.12,-1.96
0.47,0.12,-1.95
0.46,0.11,-1.93
0.46,0.11,-1.92
0.46,0.11,-1.88
0.45,0.09999999,-1.87
0.45,0.09999999,-1.85
0.45,0.09999999,-1.84
0.45,0.09,-1.82
0.44,0.09,-1.78
0.44,0.09,-1.77
0.44,0.09,-1.75
0.44,0.09,-1.73
0.44,0.09999999,-1.72
0.43,0.09999999,-1.68
0.43,0.09999999,-1.66
0.43,0.11,-1.64
0.43,0.11,-1.63
0.43,0.11,-1.61
0.43,0.11,-1.58
0.42,0.11,-1.56
0.42,0.12,-1.55
0.42,0.12,-1.53
0.41,0.13,-1.51
0.41,0.13,-1.48
0.4,0.13,-1.47
0.4,0.13,-1.45
0.4,0.13,-1.44
0.4,0.13,-1.42
0.39,0.13,-1.39
